TalentName,Prerequisites,Cost,Description,Tags,Notes,Effects
Blade Training,None,1,The user can equip Blade weapons and gain up to 100 Mastery with them.,Field,,Training-Blade
Blade Specialization,Blade Training,1,"While wielding a Blade weapon, the user gets +1 Attack and +5 Critical.","Combat, Conditional",,
Attack Rush,Blade Training,1,"While wielding a Blade weapon, the user can take the ""Attack Rush"" action to replace their Normal Attacks with 2x Quick Attacks.","Combat, Action, Attack","If the user is somehow making a Power Attack, they convert the Power Attack into 4x Quick Attacks.",Action-AttackRush
Duel Master,50 Blade Mastery,2,"While alone and fighting an enemy who is alone, the user gets +30% Advantage.","Combat, Conditional, Solo",A unit is alone when it is not in a Squad.,
Parry & Riposte,50 Blade Mastery,3,"While wielding a Blade weapon, if the user takes no damage from an attack, the user makes an immediate Quick Attack against that enemy.","Combat, Conditional","In this case, taking no damage can be achieved either by dodging the attack or by having enough defense.",Trigger-ParryRiposte
Spear Training,None,1,The user can equip Spear weapons and gain up to 100 Mastery with them.,Field,,Training-Spear
Spear Specialization,Spear Training,1,"While wielding a Spear weapon, the user gets +1 Attack and +5 Accuracy.","Combat, Conditional",,
Brace,Spear Training,1,"The user can take the ""Brace"" action to gain Tough 1 and Keen 1.","Field, Action",,Action-Brace
Reach,50 Spear Mastery,2,"While wielding a Spear weapon, the user gains +100 Attack Range.",Field,,
Pike Wall,50 Spear Mastery,3,"While wielding a Spear weapon, the user gains 20% Opportunity.",Combat,,
Mace Training,None,1,The user can equip Mace weapons and gain up to 100 Mastery with them.,Field,,Training-Mace
Mace Specialization,Mace Training,1,"While wielding a Mace weapon, the user gets +2 Attack.","Combat, Conditional",,
Smash,Mace Training,1,"While wielding a Mace weapon, the user can take the ""Smash"" action to attack an obstacle or Heavy unit and deal +50% Damage.","Combat, Action, Attack",,Action-Smash
Effective (Heavy),50 Mace Mastery,2,"While wielding a Mace weapon, the user gains +10 Attack against Heavy units.","Combat, Conditional",,
Breakthrough,50 Mace Mastery,3,The user ignores Attack penalties against them.,Combat,This applies to things like Critical Guards and from things like the Weak Debuff.,
Bow Training,None,1,The user can equip Bow weapons and gain up to 100 Mastery with them.,Field,,Training-Bow
Bow Specialization,Bow Training,1,"While wielding a Bow weapon, the user gets +1 Attack and +2 Follow-up.","Combat, Conditional",,
Snipe,Bow Training,2,"While wielding a Bow weapon, the user can take the Snipe action to attack an enemy with +200 Range, but makes Quick Attacks with -10 Accuracy.","Combat, Action, Attack",,Action-Snipe
Effective (Flying),50 Bow Mastery,2,"While wielding a Bow weapon, the user gains +10 Attack against Flying units.","Combat, Conditional",,
Precision,50 Bow Mastery,2,"If the user's attacks exceed 100% Hit Rate, convert excess Accuracy to Attack.",Combat,The exchange rate is 5:1 (Accuracy:Attack).  Round up.,
Knife Training,None,1,The user can equip Knife weapons and gain up to 100 Mastery with them.,Field,,Training-Knife
Knife Specialization,Knife Training,1,"While wielding a Knife weapon, the user gets +1 Attack and +5 Evasion.","Combat, Conditional",,
